FID,the_geom,id,name,place,source,is_in,highway,addr_stree,waterway
dominica_points.225,POINT (-61.3918112 15.3407628),1831607553,,,,,,,
dominica_points.226,POINT (-61.3895714 15.3409075),1831607908,,,,,,,
dominica_points.227,POINT (-61.3788123 15.3093172),1831698307,,,,,,,
dominica_points.228,POINT (-61.3794131 15.3102902),1831698447,,,,,,,
dominica_points.229,POINT (-61.3807489 15.3106627),1831698952,,,,,,,
dominica_points.230,POINT (-61.3783188 15.3109004),1831698983,,,,,,,
dominica_points.231,POINT (-61.3482099 15.3103993),1831699011,Morne Prosper Catholic Church,,,"Morne Prosper, Dominica",,,
dominica_points.232,POINT (-61.3797363 15.3094939),1831699053,,,,,,,
dominica_points.233,POINT (-61.3802714 15.3106055),1831699073,,,,,,,
dominica_points.234,POINT (-61.3783617 15.3086966),1831699294,,,,,,,
dominica_points.235,POINT (-61.3789786 15.3103626),1831699303,,,,,,,
dominica_points.236,POINT (-61.3799925 15.3106989),1831699376,,,,,,,
dominica_points.237,POINT (-61.344663 15.3123335),1831699501,Morne Prosper Christian Union Church,,,,,,
dominica_points.238,POINT (-61.3784905 15.3102281),1831699618,,,,,,,
dominica_points.239,POINT (-61.3807709 15.3110451),1831699945,,,,,,,
dominica_points.240,POINT (-61.3448089 15.3109478),1831705211,Morne Prosper Primary School,,,,,,
dominica_points.241,POINT (-61.378158 15.2923531),1832717751,Newtown Primary School,,,,,,
dominica_points.242,POINT (-61.3713 15.2791657),1832717841,,,,,,,
dominica_points.243,POINT (-61.3633253 15.2838098),1832718565,,,,,,,
dominica_points.244,POINT (-61.3737391 15.2782348),1832723689,Paramount Printers,,,,,,
dominica_points.245,POINT (-61.3755957 15.2912035),1832723690,Citronnier,locality,,"Newtown, Roseau, Dominica",,,
dominica_points.246,POINT (-61.370728 15.2818416),1832723691,Wallhouse,suburb,,Dominica,,,
dominica_points.247,POINT (-61.3903512 15.2987804),1832729401,,,,,,,
dominica_points.248,POINT (-61.3565615 15.2150507),1832942403,,,,,,,
dominica_points.249,POINT (-61.3557998 15.2148175),1832942406,,,,,,,
dominica_points.250,POINT (-61.356068 15.2142639),1832942417,,,,,,,
dominica_points.251,POINT (-61.3565186 15.2153147),1832942486,,,,,,,
dominica_points.252,POINT (-61.3570014 15.2151801),1832942549,,,,,,,
dominica_points.253,POINT (-61.3568297 15.2152888),1832942564,,,,,,,
dominica_points.254,POINT (-61.3562979 15.2143519),1832942567,,,,,,,
dominica_points.255,POINT (-61.3561324 15.2145691),1832942648,,,,,,,
dominica_points.256,POINT (-61.3557032 15.2142225),1832942992,,,,,,,
